CUST_CONCEPT_ID,CONCEPT_NAME,CONCEPT_NAME_KEY,CONCEPT_DESC,CONCEPT_TYPE_FLAG,CONCEPT_RELTN,EXPIRE_LOOKAHEAD,EXPIRE_ON_DISCHARGE,MULTIPLE_ENTRY_IND,UPDT_ID,UPDT_DT_TM,UPDT_CNT,UPDT_APPLCTX
2278783,Active VAP Care Plan,ACTIVEVAPCAREPLAN,Patients with an active care plan for VAP,1,,,1,0,25619018,  12/02/14,0,2063369294
5358117,Falls - Paticipative in Fall Prevention,FALLSPATICIPATIVEINFALLPREVENTION,Patients with a documented value whether or not they are participative in fall prevention,1,,,1,0,747930,  03/23/15,0,138717112
5693614,Patients with PU and no care plan,PATIENTSWITHPUANDNOCAREPLAN,Patients with a documented pressure ulcer (based on wound type of pressure ulcer) OR at high risk of developing a pressure ulcer but without an appropriate care plan,2,({WOUNDSPRESENTONADMISSION}.COUNT > 0 OR {PUHIGHPURISK}) AND {ACTIVEPRESSUREULCERCAREPLAN}.COUNT = 0,,0,0,747930,  04/03/15,0,161471722
5693976,Falls - High Risk or Documented Fall,FALLSHIGHRISKORDOCUMENTEDFALL,Patients with a High Fall Risk Score (based on Morse or Humpty) OR a documented fall,2,{FALLSHIGHFALLRISK} OR {DOCUMENTEDFALL}.COUNT > 0,,0,0,747930,  04/03/15,0,161471722
5695903,Falls - High Fall Risk,FALLSHIGHFALLRISK,"Patients who are at high risk for falls (based on Morse, BH Edmondson or Humpty scores)",2,cnvtint({FALLRISKADULT}.VALUE) > 45 OR cnvtint({FALLRISKBHADULT}.VALUE) > 90 OR cnvtint({FALLRISKPEDS}.VALUE) > 12,,0,0,26977162,  07/19/23,3,644613849
5695939,Vent and No Care Plan,VENTANDNOCAREPLAN,Patients with an a vent order or documentation and no VAP care plan initiated,2,{VENTS} AND {ACTIVEVAPCAREPLAN}.COUNT=0,,0,0,26977162,  04/17/20,1,1265105335
5695987,Restraints - Doc with No Order,RESTRAINTSDOCWITHNOORDER,Patients with active documentation of restraint initiation but no active order,2,({RESTRAINTORDERNONVIOLENTRESTRAINTS}.COUNT = 0 AND {RESTRAINTORDERVIOLENTRESTRAINTS}.COUNT = 0) AND({DOCUMENTATIONOFRESTRAINTSNONVIOLENT}.COUNT > 0 OR {DOCUMENTATIONOFRESTRAINTSVIOLENT}.COUNT > 0),,0,0,747930,  04/03/15,0,161644179
5696100,Restraints - Violent or Non Violent,RESTRAINTSVIOLENTORNONVIOLENT,Patient with an active order or documentation of either violent or non-violent restraints,2,{RESTRAINTSNONVIOLENT} OR {RESTRAINTSVIOLENT},,0,0,747930,  04/03/15,0,161644179
5696289,Central Line Order - New,CENTRALLINEORDERNEW,Patients with an active PICC order OR an active Central Venous Catheter order OR Implanted Port order,2,{PICCORDER}.COUNT > 0 OR {IMPLANTEDPORTORDER}.COUNT > 0 OR {CVCORDER}.COUNT > 0,,0,0,26977162,  02/14/17,1,1515074383
5696334,Urinary Cath - Order and No Doc,URINARYCATHORDERANDNODOC,Patients with an active order for a urinary catheter but no insertion documentation,2,{URINARYCATHETERORDER}.COUNT > 0 AND {URINARYCATHETERDOCUMENTED}.COUNT = 0,,0,0,747930,  04/03/15,0,161644179
5696348,Urinary Cath and No Reason for Continuation,URINARYCATHANDNOREASONFORCONTINUATION,Patients with a Urinary Catheter (order or doc) without a reason foro continuation documented in the last 24 hours,2,{URINARYCATHORDERORDOC} AND {REASONFORCONTINUATIONURINARYCATHETER}.COUNT= 0,,0,0,30365432,  07/21/23,1,648844968
5700701,Documented PU,DOCUMENTEDPU,Patients with a documented pressure ulcer,2,{DOCUMENTEDPRESSUREULCER}.COUNT > 0,,0,0,30025061,  01/21/20,4,871257296
6835736,DKA,DKA,Patients that qualify for having DKA,2,{ACIDOSIS}.COUNT > 0 and {ANIONGAP}.COUNT > 0 and {BICARBONATE}.COUNT > 0,,0,0,24558401,  05/14/15,0,242832927
6835740,Critical Care Insulin Infusion Protocol Order,CRITICALCAREINSULININFUSIONPROTOCOLORDER,This concept contains all patients that have the Critical Care Insulin Protocol. This is also used for TOC trigger.,1,,,1,0,24558401,  05/14/15,0,242832927
