CUST_CONCEPT_ID,CONCEPT_NAME,CONCEPT_NAME_KEY,CONCEPT_DESC,CONCEPT_TYPE_FLAG,CONCEPT_RELTN,EXPIRE_LOOKAHEAD,EXPIRE_ON_DISCHARGE,MULTIPLE_ENTRY_IND,UPDT_ID,UPDT_DT_TM,UPDT_CNT,UPDT_APPLCTX,USER,REST
566182557,EA - Protocol Pot,EAPROTOCOLPOT,Active Pot Protocol order,1,,"72,H",1,0,31551005,  12/04/20,0,33914874,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566182607,EA - Criteria - Cardiac Tele,EACRITERIACARDIACTELE,EA criteria:  Cardiac Monitoring ED or Tele Order,1,,,1,0,31551005,  12/04/20,0,33914874,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566182778,EA - Criteria - Digoxin,EACRITERIADIGOXIN,EA criteria:  Hospital Digoxin Order (no home meds),1,,,1,0,31551005,  12/04/20,0,33914874,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566182840,EA - Criteria - Serum Creatinine,EACRITERIASERUMCREATININE,EA criteria:  Serum Creatinine < 2 mg/dL,1,,,1,0,31551005,  12/04/20,0,33914874,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566181154,EA - Lab - Mag,EALABMAG,Most recent Magnesium lab less than or equal to 1.9 mg/dL,1,,,1,0,31551005,  07/12/21,1,1268815092,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566183193,EA - Lab - Phos,EALABPHOS,Most recent Phosphorus lab less than or equal to 2.0 mg/dL,1,,,1,0,31551005,  07/12/21,1,1268815092,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566181310,EA - Lab - Pot,EALABPOT,Most recent Potassium lab less than or equal to 3.9 mEq/L,1,,,1,0,31551005,  07/12/21,1,1268815092,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566182402,EA - Protocol Mag Oral,EAPROTOCOLMAGORAL,Active Mag Oral Protocol order,1,,"72,H",1,0,31551005,  12/04/20,0,33914874,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566182424,EA - Protocol Phos IV,EAPROTOCOLPHOSIV,Active Phos IV Protocol order,1,,"72,H",1,0,31551005,  12/04/20,0,33914874,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566182713,EA - Criteria - Creatinine Clearance,EACRITERIACREATININECLEARANCE,EA criteria:  Creatinine Clearance > 30 mL/min,1,,,1,0,31551005,  12/04/20,0,33914874,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566180442,EA - Protocol Mag IV,EAPROTOCOLMAGIV,Active Mag IV Protocol order,1,,"72,H",1,0,31551005,  12/04/20,0,33914874,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566180612,EA - Protocol Phos Oral,EAPROTOCOLPHOSORAL,Active Phos Oral Protocol order,1,,"72,H",1,0,31551005,  12/04/20,0,33914874,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
566182818,EA - Criteria - No DKA HHS,EACRITERIANODKAHHS,EA criteria:  Active Insulin Protocol Advisor for DKA or HHS,1,,,1,0,31551005,  12/04/20,0,33914874,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
1580384800,EA - Criteria - No Dialysis,EACRITERIANODIALYSIS,EA criteria:  Patient does not have an active dialysis order,2,{DIALYSIS}.COUNT < 1,,0,0,31551005,  07/12/21,0,1268815092,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
1580387981,EA - CRITERIA - Valid Mag Result 4H,EACRITERIAVALIDMAGRESULT4H,A Valid Mag Result within 4 hours,2,{EALABMAGBTW00AND19} AND ({EALABMAG}.AGE < 240),,0,0,31551005,  07/12/21,0,1268815092,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
1580388375,EA - CRITERIA - Valid Phos Result 4H,EACRITERIAVALIDPHOSRESULT4H,A Valid Phos Result within 4 hours,2,{EALABPHOSBTW00AND20} AND ({EALABPHOS}.AGE < 240),,0,0,31551005,  07/12/21,0,1268815092,1,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
